1,Sal,173468
2,Pimienta negra,170931
3,Aceite de oliva,171413
4,Cebolla,170000
5,Ajo,169230
6,Huevo,171287
7,Tomate,170457
8,Mantequilla,173410
9,Lim?n,167746
10,Zanahoria,170393
11,Cilantro,169997
12,Aceite,172357
13,Sal de mar,359145
14,Mayonesa,171009
15,Palta,171705
16,Albahaca,172232
17,Perejil,170416
18,Comino,170923
19,Pimiento rojo,170108
20,Crema,170859
21,Pure de papas,169768
22,Jugo de lim?n,167747
23,Oregano,171328
24,Queso parmesano,173431
25,Lechuga,169249
26,Queso crema,173418
27,Pimienta blanca,170933
28,Leche semidescremada,172193
29,Zapallo italiano,169291
30,Espinaca,168462
31,Champi??n,169251
32,Az?car,169655
33,Mostaza,172234
34,Aj? color,170932
35,Queso,167944
36,Berenjena,169228
37,Ceboll?n,170007
38,Ajo en polvo,171325
39,Tomate cherry,1961360
40,Almendras,170567
41,Harina,169761
42,Tomillo,170938
43,Br?coli,170379
44,Choclo,170288
45,Esp?rrago,168389
46,Vinagre manzana,173469
47,Jengibre,170926
48,Apio,169988
49,Leche evaporada,171302
50,Papa,170026
51,Merk?n,171319
52,Manzana,171689
53,Pechuga de pollo,171515
54,Vinagre,172237
55,Pimiento,170108
56,Garbanzo,173756
57,At?n,173706
58,Vainilla,173471
59,Aceite de coco,171412
60,Leche,171266
61,Queso mozzarella,170845
62,Salm?n,175138
63,Aceite de palta,173573
64,Repollo,169975
65,Aceituna,169094
66,Arvejas,170419
67,Pepino,168409
68,Porotos verdes,169961
69,Aceituna negra,169094
70,S?samo,170150
71,Linaza,169414
72,Polvo de hornear,172805
73,Canela,171320
74,Zapallo,168448
75,Curry,170924
76,Nuez moscada,171326
77,Queso cheddar,173414
78,Salsa de tomate,169074
79,Puerro,169246
80,Harina de almendra,170567
81,Pimiento verde,170427
82,Ciboulette,169994
83,Queso cabra,172197
84,Vinagre bals?mico,172241
85,Laurel,2025964
86,Cebolla morada,790577
87,Tahini,168604
